Hyper-parameters:

  batch_size   16
  optimizer  adam
  lr           0.005
  lr_decrease_epoch 20
  lr_decrease_by    0.01


processing train1:

Epoch 13, train loss = 0.507, valid loss = 0.539, time 0m 12s
Epoch 14, train loss = 0.510, valid loss = 0.541, time 0m 12s
Epoch 15, train loss = 0.514, valid loss = 0.560, time 0m 12s
Epoch 16, train loss = 0.504, valid loss = 0.560, time 0m 12s
Epoch 17, train loss = 0.508, valid loss = 0.566, time 0m 12s
Epoch 18, train loss = 0.507, valid loss = 0.569, time 0m 12s
Epoch 19, train loss = 0.505, valid loss = 0.557, time 0m 12s
Epoch 20, train loss = 0.497, valid loss = 0.581, time 0m 12s
Epoch 21, train loss = 0.502, valid loss = 0.577, time 0m 12s
Epoch 22, train loss = 0.502, valid loss = 0.556, time 0m 12s
Epoch 23, train loss = 0.493, valid loss = 0.576, time 0m 12s
Epoch 24, train loss = 0.496, valid loss = 0.587, time 0m 12s
Epoch 25, train loss = 0.491, valid loss = 0.604, time 0m 12s
Epoch 26, train loss = 0.503, valid loss = 0.580, time 0m 13s
Epoch 27, train loss = 0.498, valid loss = 0.597, time 0m 13s
Epoch 28, train loss = 0.489, valid loss = 0.579, time 0m 13s
Epoch 29, train loss = 0.488, valid loss = 0.581, time 0m 13s
Epoch 30, train loss = 0.501, valid loss = 0.580, time 0m 13s
Epoch 31, train loss = 0.506, valid loss = 0.588, time 0m 13s
Epoch 32, train loss = 0.491, valid loss = 0.614, time 0m 13s
Epoch 33, train loss = 0.497, valid loss = 0.586, time 0m 13s
Epoch 34, train loss = 0.503, valid loss = 0.573, time 0m 13s
Epoch 35, train loss = 0.490, valid loss = 0.603, time 0m 13s
Epoch 36, train loss = 0.496, valid loss = 0.588, time 0m 13s
Epoch 37, train loss = 0.490, valid loss = 0.592, time 0m 13s
Epoch 38, train loss = 0.493, valid loss = 0.588, time 0m 13s
Epoch 39, train loss = 0.486, valid loss = 0.601, time 0m 13s
Epoch 40, train loss = 0.489, valid loss = 0.605, time 0m 13s

Select best Epoch:
Epoch 20, train loss = 0.497, valid loss = 0.581, Spearmanr = 0.75
Epoch 40, train loss = 0.489, valid loss = 0.605, Spearmanr = 0.55
Final Epoch: 20

valid for train5:
  tp=92, tn=49, fp=27, fn=29
  se=0.7603, sp=0.6447, acc=0.7157, mcc=0.403, auc=0.730


Validation set:
  tp=495, tn=255, fp=126, fn=110
  se=0.8182, sp=0.6693, acc=0.7606, mcc=0.492, auc=0.807


Training set:
  tp=505, tn=248, fp=133, fn=100
  se=0.8347, sp=0.6509, acc=0.7637, mcc=0.495, auc=0.823


Test set:
  tp=99, tn=46, fp=28, fn=19
  se=0.8390, sp=0.6216, acc=0.7552, mcc=0.474, auc=0.831


Valid	76.06	0.492	0.807
Train	76.37	0.495	0.823
Test	99	46	28	19	83.90	62.16	75.52	0.474	0.831
