processing 1910: epoch 1, 1910 / 13496, avg loss = 34.746, valid = 67.42%, unique = 67.42%, time 4h 55m 36s
processing 1920: epoch 1, 1920 / 13496, avg loss = 34.719, valid = 64.38%, unique = 64.38%, time 4h 57m 9s
processing 1930: epoch 1, 1930 / 13496, avg loss = 35.253, valid = 62.42%, unique = 62.42%, time 4h 58m 42s
processing 1940: epoch 1, 1940 / 13496, avg loss = 34.372, valid = 71.41%, unique = 71.41%, time 5h 0m 15s
processing 1950: epoch 1, 1950 / 13496, avg loss = 35.018, valid = 64.77%, unique = 64.77%, time 5h 1m 50s
processing 1960: epoch 1, 1960 / 13496, avg loss = 34.062, valid = 62.58%, unique = 62.58%, time 5h 3m 23s
processing 1970: epoch 1, 1970 / 13496, avg loss = 35.378, valid = 63.83%, unique = 63.83%, time 5h 4m 56s
processing 1980: epoch 1, 1980 / 13496, avg loss = 34.985, valid = 66.95%, unique = 66.95%, time 5h 6m 28s
processing 1990: epoch 1, 1990 / 13496, avg loss = 34.120, valid = 70.31%, unique = 70.31%, time 5h 8m 0s
processing 2000: epoch 1, 2000 / 13496, avg loss = 35.004, valid = 68.20%, unique = 68.12%, time 5h 9m 32s
processing 2010: epoch 1, 2010 / 13496, avg loss = 34.892, valid = 65.31%, unique = 65.31%, time 5h 11m 3s
processing 2020: epoch 1, 2020 / 13496, avg loss = 34.803, valid = 67.97%, unique = 67.97%, time 5h 12m 33s
processing 2030: epoch 1, 2030 / 13496, avg loss = 34.196, valid = 66.48%, unique = 66.48%, time 5h 14m 7s
processing 2040: epoch 1, 2040 / 13496, avg loss = 34.542, valid = 73.83%, unique = 73.83%, time 5h 15m 39s
processing 2050: epoch 1, 2050 / 13496, avg loss = 34.795, valid = 69.30%, unique = 69.30%, time 5h 17m 10s
processing 2060: epoch 1, 2060 / 13496, avg loss = 33.778, valid = 66.56%, unique = 66.48%, time 5h 18m 43s
processing 2070: epoch 1, 2070 / 13496, avg loss = 34.603, valid = 66.80%, unique = 66.80%, time 5h 20m 16s
processing 2080: epoch 1, 2080 / 13496, avg loss = 34.416, valid = 66.80%, unique = 66.80%, time 5h 21m 46s
processing 2090: epoch 1, 2090 / 13496, avg loss = 34.828, valid = 64.92%, unique = 64.92%, time 5h 23m 18s
processing 2100: epoch 1, 2100 / 13496, avg loss = 34.419, valid = 66.09%, unique = 66.09%, time 5h 24m 48s
processing 2110: epoch 1, 2110 / 13496, avg loss = 34.149, valid = 66.56%, unique = 66.56%, time 5h 26m 18s
processing 2120: epoch 1, 2120 / 13496, avg loss = 34.095, valid = 68.20%, unique = 68.20%, time 5h 27m 48s
processing 2130: epoch 1, 2130 / 13496, avg loss = 34.061, valid = 66.72%, unique = 66.72%, time 5h 29m 22s
processing 2140: epoch 1, 2140 / 13496, avg loss = 33.635, valid = 70.23%, unique = 70.23%, time 5h 30m 53s
processing 2150: epoch 1, 2150 / 13496, avg loss = 34.088, valid = 67.34%, unique = 67.34%, time 5h 32m 24s
processing 2160: epoch 1, 2160 / 13496, avg loss = 34.617, valid = 69.45%, unique = 69.38%, time 5h 33m 57s
processing 2170: epoch 1, 2170 / 13496, avg loss = 34.574, valid = 69.06%, unique = 69.06%, time 5h 35m 29s
processing 2180: epoch 1, 2180 / 13496, avg loss = 34.669, valid = 68.05%, unique = 68.05%, time 5h 37m 1s
processing 2190: epoch 1, 2190 / 13496, avg loss = 34.466, valid = 67.11%, unique = 67.11%, time 5h 38m 33s
processing 2200: epoch 1, 2200 / 13496, avg loss = 34.322, valid = 66.02%, unique = 66.02%, time 5h 40m 8s
processing 2210: epoch 1, 2210 / 13496, avg loss = 33.946, valid = 70.47%, unique = 70.47%, time 5h 41m 41s
processing 2220: epoch 1, 2220 / 13496, avg loss = 34.092, valid = 63.52%, unique = 63.52%, time 5h 43m 18s
processing 2230: epoch 1, 2230 / 13496, avg loss = 33.927, valid = 67.19%, unique = 67.19%, time 5h 44m 50s
processing 2240: epoch 1, 2240 / 13496, avg loss = 33.864, valid = 70.16%, unique = 70.16%, time 5h 46m 24s
processing 2250: epoch 1, 2250 / 13496, avg loss = 34.538, valid = 69.14%, unique = 69.14%, time 5h 47m 57s
processing 2260: epoch 1, 2260 / 13496, avg loss = 34.260, valid = 72.73%, unique = 72.73%, time 5h 49m 30s
processing 2270: epoch 1, 2270 / 13496, avg loss = 33.621, valid = 69.06%, unique = 69.06%, time 5h 51m 5s
processing 2280: epoch 1, 2280 / 13496, avg loss = 33.906, valid = 68.59%, unique = 68.52%, time 5h 52m 36s
processing 2290: epoch 1, 2290 / 13496, avg loss = 33.957, valid = 70.00%, unique = 70.00%, time 5h 54m 8s
processing 2300: epoch 1, 2300 / 13496, avg loss = 34.186, valid = 70.00%, unique = 69.92%, time 5h 55m 40s
processing 2310: epoch 1, 2310 / 13496, avg loss = 34.551, valid = 70.16%, unique = 70.16%, time 5h 57m 14s
processing 2320: epoch 1, 2320 / 13496, avg loss = 34.235, valid = 68.28%, unique = 68.28%, time 5h 58m 48s
processing 2330: epoch 1, 2330 / 13496, avg loss = 33.790, valid = 70.39%, unique = 70.39%, time 6h 0m 21s
