NO,Name,Aromatic_SMILES,Kekulized_SMILES,InChiKey,target_binary
11,TTK_0039,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(C#N)cn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=NC(C#N)=CN23)=CC=C1C(=O)NC1CC1,UZESTMZBQKFZKK-UHFFFAOYSA-N,1
12,TTK_0040,C/C=C(\C)c1cn2c(-c3ccc(C(=O)NC4CC4)c(C)c3)cnc2c(NCCC(F)(F)F)n1,C/C=C(\C)C1=CN2C(C3=CC=C(C(=O)NC4CC4)C(C)=C3)=CN=C2C(NCCC(F)(F)F)=N1,TXWWMZFLVUVYRP-LNKIKWGQSA-N,1
13,TTK_0041,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(Cc4ccccc4)cn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=NC(CC4=CC=CC=C4)=CN23)=CC=C1C(=O)NC1CC1,YDDPDNMLOPPAFX-UHFFFAOYSA-N,1
14,TTK_0042,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(CCc4ccccc4)cn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=NC(CCC4=CC=CC=C4)=CN23)=CC=C1C(=O)NC1CC1,ITEAZDFCHHPKPZ-UHFFFAOYSA-N,1
15,TTK_0043,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(Oc4ccccc4)cn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=NC(OC4=CC=CC=C4)=CN23)=CC=C1C(=O)NC1CC1,FPYWIVXQQLAWEZ-UHFFFAOYSA-N,1
16,TTK_0046,CC(C)CNc1cccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CC(C)CNC1=CC=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,VYVCVQBNQXWFAL-UHFFFAOYSA-N,1
17,TTK_0047,COc1ccccc1-c1cc(NCCC(F)(F)F)c2ncc(-c3ccc(C(=O)NC4CC4)c(C)c3)n2c1,COC1=CC=CC=C1C1=CN2C(C3=CC=C(C(=O)NC4CC4)C(C)=C3)=CN=C2C(NCCC(F)(F)F)=C1,HNAOMIOYTIHHCR-UHFFFAOYSA-N,1
18,TTK_0050,CC(C)CNc1cc(-c2ccccc2)cc2c1ncn2-c1ccc(C(=O)NC2CC2)cc1,CC(C)CNC1=CC(C2=CC=CC=C2)=CC2=C1N=CN2C1=CC=C(C(=O)NC2CC2)C=C1,WFQNVXVCPSPGPD-UHFFFAOYSA-N,1
19,TTK_0051,CC(C)CNc1ccnn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CC(C)CNC1=CC=NN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,SANAWCGWROTZLJ-UHFFFAOYSA-N,1
20,TTK_0052,CC(C)CNc1cc(-c2ccccc2)nn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CC(C)CNC1=CC(C2=CC=CC=C2)=NN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,JNEMDWFZGLISII-UHFFFAOYSA-N,1
21,TTK_0053,C=C(c1ccc(OC)c(F)c1)c1cc(NCCC(F)(F)F)c2ncc(-c3ccc(C(=O)NC4CC4)c(C)c3)n2n1,C=C(C1=CC=C(OC)C(F)=C1)C1=NN2C(C3=CC=C(C(=O)NC4CC4)C(C)=C3)=CN=C2C(NCCC(F)(F)F)=C1,HBNSSPSUNYWQLD-UHFFFAOYSA-N,1
22,TTK_0054,Cc1cc(-c2cnc3c(NCCC(F)(F)F)cc(C4(c5cc(F)ccc5O)CC4)nn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=CC(C4(C5=CC(F)=CC=C5O)CC4)=NN23)=CC=C1C(=O)NC1CC1,PRHOHAZWMXBOFO-UHFFFAOYSA-N,1
23,TTK_0055,COc1ccc(Oc2cc(NCCC(F)(F)F)n3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)c3n2)c(F)c1F,COC1=CC=C(OC2=NC3=C(C4=CC=C(C(=O)NC5CC5)C(C)=C4)C=NN3C(NCCC(F)(F)F)=C2)C(F)=C1F,TUJICZXQIMDQDM-UHFFFAOYSA-N,1
24,TTK_0056,Cc1cc(-c2cnc3c(NC[C@H]4C[C@@](C)(O)C4)cc(Oc4cccnc4)nn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NC[C@H]4C[C@@](C)(O)C4)=CC(OC4=CC=CN=C4)=NN23)=CC=C1C(=O)NC1CC1,AXVZWOFOVVORCS-CHOKWEPUSA-N,1
25,TTK_0058,COc1ccc(Oc2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)c(F)c1F,COC1=CC=C(OC2=NN3C(C4=CC=C(C(=O)NC5CC5)C(C)=C4)=CN=C3C(NCCC(F)(F)F)=C2)C(F)=C1F,WNEILUNVMHVMPH-UHFFFAOYSA-N,1
26,TTK_0059,Cc1cc(-c2cnn3c(NC[C@H]4C[C@@](C)(O)C4)cc(Oc4cccnc4)nc23)ccc1C(=O)NC1CC1,CC1=CC(C2=C3N=C(OC4=CC=CN=C4)C=C(NC[C@H]4C[C@@](C)(O)C4)N3N=C2)=CC=C1C(=O)NC1CC1,PMQUGSPFUBGJCZ-CHOKWEPUSA-N,1
27,TTK_0060,COc1cc(-c2cnn(C)c2)ccc1Nc1ncc2ccnc(N[C@@H](C)C(C)(C)C)c2n1,COC1=CC(C2=CN(C)N=C2)=CC=C1NC1=NC=C2C=CN=C(N[C@@H](C)C(C)(C)C)C2=N1,XTJZKALDRPVFSN-HNNXBMFYSA-N,1
28,TTK_0061,Cn1cc(-c2cc3cnc(Nc4ccc(-c5cncn5C)cc4Cl)cc3n2C(=O)OC(C)(C)C)cn1,CN1C=C(C2=CC3=C(C=C(NC4=CC=C(C5=CN=CN5C)C=C4Cl)N=C3)N2C(=O)OC(C)(C)C)C=N1,BXKNUXDLZJPPBO-UHFFFAOYSA-N,1
29,TTK_0065,NS(=O)(=O)c1cccc(-c2n[nH]c3ccc(NC(=O)C(c4ccsc4)N4CCCC4)cc23)c1,NS(=O)(=O)C1=CC(C2=NNC3=CC=C(NC(=O)C(C4=CSC=C4)N4CCCC4)C=C32)=CC=C1,JBZRAEUHDPMQSF-UHFFFAOYSA-N,1
30,TTK_0066,O=C(N[C@@H](c1ccccn1)C1CC1)c1ccc2[nH]nc(-c3ccc(N4[C@H]5CC[C@@H]4C[C@H](O)C5)cc3)c2c1,O=C(N[C@@H](C1=CC=CC=N1)C1CC1)C1=CC=C2NN=C(C3=CC=C(N4[C@H]5CC[C@@H]4C[C@H](O)C5)C=C3)C2=C1,DUKJABPGWUISRC-CAFXQFFASA-N,1
