SMILES,Name,Aromatic_SMILES,Kekulized_SMILES,InChiKey
COc1ccc(cc1OC)[C@@H]2CC3=C([C@H](c4c([nH][nH]c4=O)N3)c5cccc(c5)OCc6ccccc6)C(=O)C2,Decoys_2692,COc1ccc([C@H]2CC(=O)C3=C(C2)Nc2[nH][nH]c(=O)c2[C@@H]3c2cccc(OCc3ccccc3)c2)cc1OC,COC1=CC=C([C@H]2CC(=O)C3=C(C2)NC2=C(C(=O)NN2)[C@@H]3C2=CC=CC(OCC3=CC=CC=C3)=C2)C=C1OC,UDXKFPMWBQXIBP-JIPXPUAJSA-N
Cc1cc(ccc1NCc2nnc(n2c3ccccc3)S[C@@H](C)C(=O)N/N=C/c4c5ccccc5ccc4O)Cl,Decoys_2693,Cc1cc(Cl)ccc1NCc1nnc(S[C@@H](C)C(=O)N/N=C/c2c(O)ccc3ccccc23)n1-c1ccccc1,CC1=CC(Cl)=CC=C1NCC1=NN=C(S[C@@H](C)C(=O)N/N=C/C2=C(O)C=CC3=CC=CC=C32)N1C1=CC=CC=C1,IXUQZNYJJSRDKV-JUSJZLSKSA-N
c1ccc2c(c1)nc3n2c(nc4c3cc(cc4)Br)SCC(=O)NCCc5ccc(cc5)S(=O)(=O)N,Decoys_2694,NS(=O)(=O)c1ccc(CCNC(=O)CSc2nc3ccc(Br)cc3c3nc4ccccc4n23)cc1,NS(=O)(=O)C1=CC=C(CCNC(=O)CSC2=NC3=C(C=C(Br)C=C3)C3=NC4=CC=CC=C4N23)C=C1,YTDUDFKYXSCNLJ-UHFFFAOYSA-N
C[C@H]1C[C@@H]2[C@@H]3CC[C@@]([C@@]3([C@@H](C[C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)CNC(=O)OC(C)(C)C)O,Decoys_2695,C[C@H]1C[C@H]2[C@H](C[C@@H](O)[C@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CNC(=O)OC(C)(C)C)[C@@]2(C)C=CC(=O)C=C12,C[C@H]1C[C@H]2[C@H](C[C@@H](O)[C@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CNC(=O)OC(C)(C)C)[C@@]2(C)C=CC(=O)C=C12,PGVXEZHBNLUQOG-RLYZBTDPSA-N
Cc1cc(c(cc1Cl)c2c3c(n[nH]2)C(=O)N([C@@H]3c4ccc(c(c4)OC)O)CCc5ccc(cc5)OC)O,Decoys_2696,COc1ccc(CCN2C(=O)c3n[nH]c(-c4cc(Cl)c(C)cc4O)c3[C@H]2c2ccc(O)c(OC)c2)cc1,COC1=CC=C(CCN2C(=O)C3=NNC(C4=C(O)C=C(C)C(Cl)=C4)=C3[C@H]2C2=CC=C(O)C(OC)=C2)C=C1,NZJGIFZDMWJRAD-HHHXNRCGSA-N
c1ccc(c(c1)/C=N/NC(=O)C(=O)Nc2ccccc2C(=O)Nc3ccc(cc3)Cl)OCc4ccc(cc4)Br,Decoys_2697,O=C(N/N=C/c1ccccc1OCc1ccc(Br)cc1)C(=O)Nc1ccccc1C(=O)Nc1ccc(Cl)cc1,O=C(N/N=C/C1=CC=CC=C1OCC1=CC=C(Br)C=C1)C(=O)NC1=CC=CC=C1C(=O)NC1=CC=C(Cl)C=C1,ZOIBBEGEJUUSQU-VTNSRFBWSA-N
c1ccc(cc1)/N=N/c2ccc(cc2)NC(=S)N[C@H](C(Cl)(Cl)Cl)NC(=O)c3cccc(c3)[N+](=O)[O-],Decoys_2698,O=C(N[C@H](NC(=S)Nc1ccc(/N=N/c2ccccc2)cc1)C(Cl)(Cl)Cl)c1cccc([N+](=O)[O-])c1,O=C(N[C@H](NC(=S)NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1)C(Cl)(Cl)Cl)C1=CC=CC([N+](=O)[O-])=C1,BJQZXUJQKBDZNV-BKWYIPCTSA-N
Cc1cccc(c1)NC(=O)c2ccccc2NC(=O)C(=O)N/N=C/c3cc(ccc3OC(=O)/C=C/c4ccccc4)Br,Decoys_2699,Cc1cccc(NC(=O)c2ccccc2NC(=O)C(=O)N/N=C/c2cc(Br)ccc2OC(=O)/C=C/c2ccccc2)c1,CC1=CC=CC(NC(=O)C2=CC=CC=C2NC(=O)C(=O)N/N=C/C2=CC(Br)=CC=C2OC(=O)/C=C/C2=CC=CC=C2)=C1,VJFQEXBHUOXGPZ-HSMMEIGESA-N
CC(C)C[NH+](C[C@@H]([C@@H](c1ccccc1)c2c(c3ccccc3oc2=O)[O-])/C(=N/NC(=O)c4ccccc4S(=O)(=O)N)/C)CC(C)C,Decoys_2700,C/C(=N\NC(=O)c1ccccc1S([NH-])(=O)=O)[C@@H](C[NH+](CC(C)C)CC(C)C)[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,C/C(=N\NC(=O)C1=CC=CC=C1S([NH-])(=O)=O)[C@@H](C[NH+](CC(C)C)CC(C)C)[C@@H](C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,WQGUNHQCETWLLS-KALLBKDMSA-N
c1ccc(cc1)COc2cccc(c2)/C=N/NC(=O)C(=O)Nc3nnc(s3)c4ccccc4,Decoys_2701,O=C(N/N=C/c1cccc(OCc2ccccc2)c1)C(=O)Nc1nnc(-c2ccccc2)s1,O=C(N/N=C/C1=CC(OCC2=CC=CC=C2)=CC=C1)C(=O)NC1=NN=C(C2=CC=CC=C2)S1,IJXXLILJNIPHJW-MFKUBSTISA-N
CCCOc1ccc(c(c1)O)/C=N/N2C(=O)[C@](NC2=O)(C)c3ccc(cc3)OC(F)F,Decoys_2702,CCCOc1ccc(/C=N/N2C(=O)N[C@@](C)(c3ccc(OC(F)F)cc3)C2=O)c(O)c1,CCCOC1=CC=C(/C=N/N2C(=O)N[C@@](C)(C3=CC=C(OC(F)F)C=C3)C2=O)C(O)=C1,QZQDXNZRJAAKGT-BZLIYVJTSA-N
Cc1ccc(cc1)NS(=O)(=O)c2ccc(cc2)C(=O)OCCCn3c4ccccc4[nH]c3=O,Decoys_2703,Cc1ccc(NS(=O)(=O)c2ccc(C(=O)OCCCn3c(=O)[nH]c4ccccc43)cc2)cc1,CC1=CC=C(NS(=O)(=O)C2=CC=C(C(=O)OCCCN3C(=O)NC4=CC=CC=C43)C=C2)C=C1,OYENLWBQMWULSJ-UHFFFAOYSA-N
CCOC(=O)c1c2c(sc1NC(=O)CSc3nnc(o3)c4ccccc4O)CCCC2,Decoys_2704,CCOC(=O)c1c(NC(=O)CSc2nnc(-c3ccccc3O)o2)sc2c1CCCC2,CCOC(=O)C1=C(NC(=O)CSC2=NN=C(C3=CC=CC=C3O)O2)SC2=C1CCCC2,FTJOEMUWSRNTRF-UHFFFAOYSA-N
CCOC(=O)c1c(c([nH]c1C)C(=O)[C@@H](C)N2C(=O)[C@](NC2=O)(C)c3ccc(cc3)C(C)C)C,Decoys_2705,CCOC(=O)c1c(C)[nH]c(C(=O)[C@@H](C)N2C(=O)N[C@@](C)(c3ccc(C(C)C)cc3)C2=O)c1C,CCOC(=O)C1=C(C)NC(C(=O)[C@@H](C)N2C(=O)N[C@@](C)(C3=CC=C(C(C)C)C=C3)C2=O)=C1C,HJKXYVIMJYJZIA-CPJLOUKISA-N
CCc1c(c(=O)[nH]c(n1)SCC(=O)Nc2c(c3c(s2)C[C@H](CC3)C)C(=O)OCC)C#N,Decoys_2706,CCOC(=O)c1c(NC(=O)CSc2nc(CC)c(C#N)c(=O)[nH]2)sc2c1CC[C@H](C)C2,CCOC(=O)C1=C(NC(=O)CSC2=NC(CC)=C(C#N)C(=O)N2)SC2=C1CC[C@H](C)C2,GKQMVJZOWHBZSQ-NSHDSACASA-N
C[C@@H](C(=O)Nc1ccc(cc1C(F)(F)F)[N+](=O)[O-])OC(=O)CCc2c[nH]c3c2cccc3,Decoys_2707,C[C@H](OC(=O)CCc1c[nH]c2ccccc12)C(=O)Nc1ccc([N+](=O)[O-])cc1C(F)(F)F,C[C@H](OC(=O)CCC1=CNC2=C1C=CC=C2)C(=O)NC1=CC=C([N+](=O)[O-])C=C1C(F)(F)F,JGYBKOUMTVCXMZ-LBPRGKRZSA-N
CCOC(=O)C1=C(NC(=O)N[C@H]1c2ccccc2)COC(=O)[C@H](C)Oc3ccc(cc3)F,Decoys_2708,CCOC(=O)C1=C(COC(=O)[C@H](C)Oc2ccc(F)cc2)NC(=O)N[C@H]1c1ccccc1,CCOC(=O)C1=C(COC(=O)[C@H](C)OC2=CC=C(F)C=C2)NC(=O)N[C@H]1C1=CC=CC=C1,HTQQFUTTXQZQIV-XOBRGWDASA-N
CC[C@@H](C)c1ccc(cc1)NC(=O)COC(=O)CN2C(=O)[C@@]3(C[C@@H](CC(C3)(C)C)C)NC2=O,Decoys_2709,CC[C@@H](C)c1ccc(NC(=O)COC(=O)CN2C(=O)N[C@]3(C[C@H](C)CC(C)(C)C3)C2=O)cc1,CC[C@@H](C)C1=CC=C(NC(=O)COC(=O)CN2C(=O)N[C@]3(C[C@H](C)CC(C)(C)C3)C2=O)C=C1,JRFSLWMTLMICMU-BFIDETRKSA-N
CC(C)c1ccc(c(c1)Br)OCC(=O)NNC(=O)/C=C/c2cccc(c2)[N+](=O)[O-],Decoys_2710,CC(C)c1ccc(OCC(=O)NNC(=O)/C=C/c2cccc([N+](=O)[O-])c2)c(Br)c1,CC(C)C1=CC=C(OCC(=O)NNC(=O)/C=C/C2=CC=CC([N+](=O)[O-])=C2)C(Br)=C1,MHQCUSGKBOQKRK-RMKNXTFCSA-N
CCOC(=O)C1=C(NC(=O)N[C@@H]1c2ccc(cc2)Cl)COC(=O)Cc3cccc(c3)OC,Decoys_2711,CCOC(=O)C1=C(COC(=O)Cc2cccc(OC)c2)NC(=O)N[C@@H]1c1ccc(Cl)cc1,CCOC(=O)C1=C(COC(=O)CC2=CC=CC(OC)=C2)NC(=O)N[C@@H]1C1=CC=C(Cl)C=C1,WMLLHLJMVWPKFZ-OAQYLSRUSA-N
CCOC(=O)C1=C(NC(=O)N[C@@H]1c2cccs2)COC(=O)COc3cc(cc(c3)C)C,Decoys_2712,CCOC(=O)C1=C(COC(=O)COc2cc(C)cc(C)c2)NC(=O)N[C@@H]1c1cccs1,CCOC(=O)C1=C(COC(=O)COC2=CC(C)=CC(C)=C2)NC(=O)N[C@@H]1C1=CC=CS1,YWTJURVYMQPQSY-HXUWFJFHSA-N
Cc1c(c(c(s1)NC(=S)Nc2ccc(cn2)[N+](=O)[O-])C(=O)OC)c3ccccc3,Decoys_2713,COC(=O)c1c(NC(=S)Nc2ccc([N+](=O)[O-])cn2)sc(C)c1-c1ccccc1,COC(=O)C1=C(NC(=S)NC2=CC=C([N+](=O)[O-])C=N2)SC(C)=C1C1=CC=CC=C1,YDONKAUQSKZOFG-UHFFFAOYSA-N
CC[C@@H](C)c1ccc(c(c1)Br)OCC(=O)NNC(=O)c2ccc(cc2)[N+](=O)[O-],Decoys_2714,CC[C@@H](C)c1ccc(OCC(=O)NNC(=O)c2ccc([N+](=O)[O-])cc2)c(Br)c1,CC[C@@H](C)C1=CC=C(OCC(=O)NNC(=O)C2=CC=C([N+](=O)[O-])C=C2)C(Br)=C1,XNSBRQKXGWLWNI-GFCCVEGCSA-N
COc1cc(cc(c1OC)OC)/C=N/NC(=O)/C(=C/c2cccs2)/NC(=O)c3ccccc3,Decoys_2715,COc1cc(/C=N/NC(=O)/C(=C/c2cccs2)NC(=O)c2ccccc2)cc(OC)c1OC,COC1=CC(/C=N/NC(=O)/C(=C/C2=CC=CS2)NC(=O)C2=CC=CC=C2)=CC(OC)=C1OC,RUEACILCEOJKJW-KMPGCLQBSA-N
CC1=C([C@H](c2c(=O)[nH]c(nc2N1)SCC(C)C)c3ccc(cc3)C(=O)OC)C(=O)OC,Decoys_2716,COC(=O)C1=C(C)Nc2nc(SCC(C)C)[nH]c(=O)c2[C@@H]1c1ccc(C(=O)OC)cc1,COC(=O)C1=CC=C([C@@H]2C(C(=O)OC)=C(C)NC3=C2C(=O)NC(SCC(C)C)=N3)C=C1,UGOIZADAOYJZLX-MRXNPFEDSA-N
COc1cc(nc(n1)Oc2ccccc2/C=N/NC(=S)Nc3cccc(c3)Cl)OC,Decoys_2717,COc1cc(OC)nc(Oc2ccccc2/C=N/NC(=S)Nc2cccc(Cl)c2)n1,COC1=CC(OC)=NC(OC2=CC=CC=C2/C=N/NC(=S)NC2=CC=CC(Cl)=C2)=N1,KILPARWJRYZPJN-WSDLNYQXSA-N
c1ccc(c(c1)CC(=O)NNC(=O)c2ccc(cc2)COc3ccc(cc3)Cl)[N+](=O)[O-],Decoys_2718,O=C(Cc1ccccc1[N+](=O)[O-])NNC(=O)c1ccc(COc2ccc(Cl)cc2)cc1,O=C(CC1=CC=CC=C1[N+](=O)[O-])NNC(=O)C1=CC=C(COC2=CC=C(Cl)C=C2)C=C1,SDSNSIHXNSEDFD-UHFFFAOYSA-N
Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2/C=N/NC(=O)CO/N=C(/C)\c3ccccc3,Decoys_2719,C/C(=N/OCC(=O)N/N=C/c1ccccc1NS(=O)(=O)c1ccc(C)cc1)c1ccccc1,CC1=CC=C(S(=O)(=O)NC2=CC=CC=C2/C=N/NC(=O)CO/N=C(/C)C2=CC=CC=C2)C=C1,JOJLFLQASNISCM-DSSXCNNPSA-N
