  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      271        0.915        5.489            0      472.549       68.305      144.859
      272        0.977        5.451            0      465.235       78.260      149.642
      273        0.947        5.458            0      467.169       81.493      146.740
      274        0.977        5.513            0      471.338       93.283      148.542
      275        1.008        5.479            0      473.037       72.088      141.118
      276        0.963        5.522            0      468.919       90.085      145.105
      277        0.931        5.559            0      472.255       84.128      156.397
      278        0.913        5.581            0      475.144       80.487      149.186
      279        0.920        5.429            0      470.934       80.516      157.806
      280        0.925        5.496            0      465.105       86.415      146.868
      281        0.974        5.480            0      469.696       70.709      143.795
      282        0.930        5.423            0      472.072       83.489      153.078
      283        0.847        5.514            0      469.076       81.168      143.973
      284        0.790        5.480            0      466.739       87.135      155.054
      285        0.975        5.558            0      465.938       89.295      150.688
      286        1.102        5.657            0      468.831      116.464      140.638
      287        1.137        5.638            0      468.240      122.137      141.816
      288        1.036        5.685            0      473.579       97.909      151.110
      289        1.080        5.655            0      469.258       81.322      145.666
      290        1.100        5.725            0      474.021       91.974      151.825
      291        1.188        5.623            0      468.671       84.274      153.756
      292        1.090        5.652            0      475.093       90.058      151.191
      293        1.099        5.571            0      470.399       61.760      153.576
      294        1.123        5.416            0      475.163       49.455      147.108
      295        1.097        5.456            0      467.118       81.682      149.336
      296        1.087        5.680            0      475.408       85.506      151.389
      297        1.036        5.595            0      470.675      101.907      142.928
      298        1.145        5.724            0      476.348       99.123      151.522
      299        1.159        5.653            0      477.628       90.095      144.614
      300        1.138        5.620            0      470.902       95.763      137.058
      301        1.201        5.704            0      476.089      105.548      148.964
      302        1.117        5.441            0      469.646       58.482      144.609
      303        1.174        5.379            0      465.349       76.163      149.727
      304        1.226        5.363            0      466.322       57.502      146.414
      305        1.223        5.438            0      467.681       70.431      144.968
      306        1.184        5.385            0      471.295       55.103      148.989
      307        1.443        5.172            0      459.970       47.271      134.613
      308        1.404        5.246            0      461.673       52.940      127.938
      309        1.188        5.463            0      466.765      102.709      152.893
      310        1.236        5.361            0      468.608       79.068      156.098
      311        1.246        5.339            0      468.347       62.893      142.994
      312        1.176        5.447            0      464.548       83.085      146.462
      313        1.308        5.349            0      466.304       62.312      147.011
      314        1.165        5.432            0      467.775       80.491      147.387
      315        1.163        5.418            0      462.631       85.718      141.494
      316        1.209        5.473            0      470.272       60.153      148.360
      317        1.340        5.312            0      462.913       56.961      142.500
      318        1.255        5.270            0      464.443       54.948      149.402
      319        1.075        5.659            0      473.479       88.354      142.021
      320        1.172        5.679            0      476.286       96.788      137.776
      321        1.174        5.558            0      467.208       89.888      141.280
      322        1.185        5.666            0      469.613      104.062      149.243
      323        1.166        5.699            0      471.963      112.220      153.024
      324        1.137        5.698            0      474.843       92.606      142.576
      325        1.229        5.669            0      472.459      104.866      143.038
      326        1.140        5.660            0      473.017      112.034      151.513
      327        1.160        5.659            0      470.011      106.642      148.319
      328        1.233        5.662            0      473.213      100.955      152.365
      329        1.235        5.633            0      469.355      107.074      151.773
      330        1.077        5.635            0      471.935       99.152      148.583
      331        1.078        5.631            0      468.940       92.897      152.553
      332        1.152        5.633            0      468.012       93.807      152.262
      333        1.040        5.619            0      468.117      104.225      145.794
      334        1.123        5.671            0      476.343      114.850      151.760
      335        1.183        5.675            0      472.934      113.518      145.695
      336        1.162        5.631            0      470.319      115.111      138.371
      337        1.227        5.669            0      470.330      129.181      144.706
      338        1.155        5.596            0      466.583      103.224      145.623
      339        1.216        5.651            0      470.356      116.911      145.290
      340        1.302        5.638            0      472.119       92.137      143.386
      341        1.175        5.532            0      471.838       83.160      150.841
      342        1.126        5.683            0      469.653       91.232      148.456
      343        1.083        5.699            0      475.912      105.249      139.989
